Player,Team,Round 0,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21
MAX HOLMES,GE,0.0,0.7501836,0.10803137,0.5982775,0.13814251,0.9160947,0.28589824,0.03613799,0.09814255,0.8036668,0.36099115,0.8784735,0.7457251,0.95020527,0.940071,0.049494147,0.0,0.9447037,0.060515903,0.8960552,0.8381938,0.94940776
LACHIE NEALE,BL,0.0,0.03235396,0.92052054,0.20952344,0.92408997,0.7583744,0.083272815,0.95249456,0.72438633,0.04776152,0.5849206,0.89878774,0.66704345,0.16514036,0.7257358,0.22560623,0.0,0.9086652,0.89576864,0.5327162,0.10259917,0.9347388
MATT ROWELL,GC,0.0,0.84984404,0.0,0.9368764,0.2072754,0.82306683,0.61111295,0.37771195,0.030073704,0.23238486,0.7903735,0.7551086,0.72751254,0.22291346,0.0,0.8259199,0.76802564,0.12542225,0.9413894,0.21022323,0.8965138,0.68799895
WILL ASHCROFT,BL,0.0,0.2898869,0.32642987,0.8320856,0.75730157,0.7670116,0.022693718,0.88773835,0.9341165,0.21281579,0.31402454,0.71246487,0.7974697,0.762372,0.07844336,0.62773913,0.0,0.14107525,0.76426864,0.9148944,0.055778887,0.7896816
ISAAC HEENEY,SY,0.07515211,0.6978092,0.4945481,0.0,0.17101973,0.592727,0.5614166,0.11835379,0.41551068,0.109749705,0.9603583,0.35268617,0.10408933,0.87921196,0.0,0.9295907,0.8658407,0.66229516,0.49784425,0.9492928,0.08158618,0.8984588
JOSH DAICOS,CW,0.074262805,0.51179135,0.23029874,0.0,0.74852514,0.027732551,0.68226284,0.8593718,0.43134332,0.107203744,0.6774786,0.7927361,0.15251143,0.8454534,0.0,0.7983115,0.7556903,0.51615214,0.9446583,0.18615237,0.8271674,0.09120896
NASIAH WANGANEEN-MILERA,SK,0.0,0.15027906,0.69059366,0.72840875,0.6536293,0.4878895,0.040437665,0.5361877,0.6827835,0.41579202,0.12752663,0.6837229,0.39172465,0.0,0.103289865,0.40872544,0.34031484,0.8141703,0.22620407,0.86897147,0.9310652,0.9150421
JOSH DUNKLEY,BL,0.0,0.9193145,0.8048102,0.58534193,0.7370543,0.3719587,0.03858153,0.58493894,0.8171566,0.5889276,0.49596757,0.2741306,0.06159879,0.12608126,0.03889898,0.8754728,0.0,0.10488137,0.8870809,0.82831925,0.11007163,0.9210932
JEREMY CAMERON,GE,0.0,0.8781903,0.030611042,0.026552146,0.47985417,0.4411477,0.17204529,0.20614104,0.042327877,0.21367195,0.9158456,0.9180483,0.93310195,0.042207573,0.9211066,0.07146293,0.0,0.8982786,0.023059096,0.92474276,0.93008584,0.8848696
GEORGE HEWETT,CA,0.0,0.24076957,0.6410558,0.48064402,0.914645,0.9351077,0.9550578,0.69324034,0.048669342,0.40481496,0.26965111,0.025063494,0.0,0.7724647,0.8535921,0.71815556,0.061339274,0.036774162,0.80493796,0.11615842,0.21574655,0.7604282
IZAK RANKINE,AD,0.0,0.87399167,0.2637663,0.91996855,0.2832591,0.6568669,0.7814375,0.1150831,0.95292974,0.20678008,0.57803756,0.7320005,0.17379828,0.23788807,0.37802374,0.0,0.5140466,0.9432545,0.52313584,0.22559899,0.07212376,0.48315936
MATTHEW KENNEDY,WB,0.0,0.18287212,0.06786378,0.74636424,0.49734154,0.5709315,0.7863456,0.9086792,0.75187033,0.34209347,0.8696708,0.87880385,0.0,0.39552802,0.88227195,0.6326707,0.09835902,0.45064214,0.022090064,0.24404013,0.3527195,0.23046853
MARCUS BONTEMPELLI,WB,0.0,0.0,0.0,0.0,0.0,0.0,0.93715286,0.58605015,0.83911616,0.5592532,0.8545491,0.5042067,0.0,0.12646185,0.068884835,0.95952225,0.16039154,0.73818135,0.9269195,0.3367994,0.9581929,0.79453665
JAI NEWCOMBE,HW,0.6189562,0.7243998,0.92128557,0.2994411,0.0,0.67030275,0.5080052,0.62864023,0.73591447,0.1367604,0.7890507,0.08979878,0.051631663,0.9172495,0.05265659,0.0,0.87051094,0.7567121,0.18033929,0.06449074,0.055245172,0.08876649
PATRICK CRIPPS,CA,0.0,0.7931586,0.53058666,0.16340049,0.03343874,0.88974655,0.24628381,0.90029436,0.24413785,0.8168482,0.7973124,0.5402061,0.0,0.1939304,0.32766512,0.22336128,0.12869717,0.13444665,0.44082552,0.87186074,0.070621714,0.7628965
CHRISTIAN PETRACCA,ME,0.0,0.8385733,0.05683616,0.079815365,0.0863733,0.2186778,0.77325314,0.86426216,0.9362194,0.19334772,0.84762484,0.87024355,0.17584482,0.5278217,0.060625613,0.0,0.79231167,0.09331603,0.86979026,0.11686983,0.39690456,0.28474104
FINN CALLAGHAN,GW,0.9387,0.7984764,0.0,0.043610055,0.38098446,0.18796703,0.08668413,0.14615399,0.73352444,0.7545021,0.077654704,0.0,0.0,0.0,0.88224447,0.84580594,0.0,0.936421,0.7006984,0.764656,0.6899148,0.0406681
TOUK MILLER,GC,0.0,0.8912634,0.0,0.8944969,0.46701732,0.64270437,0.7372938,0.43718985,0.61609906,0.36892137,0.60329574,0.83375555,0.33042708,0.046817925,0.0,0.9381478,0.5008495,0.36176947,0.024958786,0.0,0.0,0.30121619
ZAK BUTTERS,PA,0.0,0.0,0.0,0.0,0.55818236,0.93075377,0.85572875,0.8634672,0.10255009,0.7871414,0.042590767,0.17173514,0.0,0.91847855,0.71646166,0.3696722,0.75006205,0.51367885,0.94246864,0.05542535,0.3690946,0.03380244
CHAD WARNER,SY,0.33396655,0.1968883,0.8576598,0.0,0.042725172,0.10174302,0.23368333,0.34054497,0.7648294,0.6998068,0.9379672,0.30003867,0.08604887,0.65967,0.0,0.17663471,0.24193491,0.8117229,0.545876,0.6807299,0.040972453,0.73983324
JORDAN CLARK,FR,0.0,0.030486036,0.3997147,0.1890654,0.5670233,0.50162387,0.057009973,0.4488501,0.025411773,0.7498771,0.36150968,0.2597045,0.85107094,0.0,0.6588157,0.8600269,0.8739681,0.026520764,0.78155893,0.18051475,0.14193088,0.785872
DAYNE ZORKO,BL,0.0,0.5740544,0.48868185,0.862319,0.2844676,0.12613797,0.029889084,0.862128,0.33627874,0.91442776,0.2711641,0.69820493,0.286196,0.106186785,0.25677478,0.8498457,0.0,0.32423657,0.60082966,0.55396336,0.028844655,0.10585659
HARRY SHEEZEL,NM,0.0,0.56041616,0.85167676,0.070725985,0.1261279,0.33874875,0.1680056,0.56647754,0.53305805,0.63703305,0.5478823,0.076984145,0.0,0.8112408,0.80739397,0.7602863,0.030980418,0.10380381,0.549801,0.11874572,0.091119565,0.7623302
LACHIE WHITFIELD,GW,0.36831805,0.8787985,0.0,0.816252,0.90767336,0.3715939,0.41165978,0.1287599,0.098311305,0.5925398,0.048815783,0.27376726,0.63336337,0.053548243,0.7036457,0.023494815,0.0,0.0,0.83516717,0.65382075,0.33127302,0.08054186
ZACH MERRETT,ES,0.0,0.43657523,0.8194624,0.90795964,0.0,0.93406653,0.6346395,0.07928186,0.9285568,0.42965603,0.03740354,0.86826456,0.1594583,0.031446945,0.14571537,0.02623573,0.0,0.74086374,0.43869776,0.2928821,0.12310779,0.15330514
LACHIE ASH,GW,0.23198245,0.046416488,0.0,0.285105,0.6875972,0.8320318,0.18963532,0.106632456,0.19478202,0.19003695,0.09041334,0.40088248,0.7371991,0.2843548,0.7153206,0.6479807,0.0,0.60915464,0.44857764,0.663521,0.053343784,0.21526778
CONNOR ROZEE,PA,0.0,0.21247248,0.9506008,0.04155356,0.107998356,0.9221264,0.75043094,0.785166,0.11198935,0.85416794,0.08216672,0.07126705,0.0,0.7787823,0.6986594,0.07636481,0.80267715,0.2581143,0.04542074,0.0,0.07046781,0.0
JAKE SOLIGO,AD,0.0,0.92333513,0.82930946,0.9045561,0.78814286,0.03391273,0.30673683,0.12731527,0.07852523,0.15021718,0.36509812,0.118458726,0.07468373,0.24422133,0.3710571,0.0,0.08477525,0.27847123,0.6235242,0.24109651,0.94553053,0.10488289
JOHN NOBLE,GC,0.0,0.06549754,0.0,0.68297946,0.08236628,0.6700354,0.2833985,0.721822,0.057452764,0.25080916,0.9031561,0.33788824,0.0460727,0.022477014,0.0,0.049462087,0.75581896,0.76779956,0.5603129,0.029272845,0.7242612,0.53272957
MAX GAWN,ME,0.0,0.53725773,0.024086049,0.041427124,0.03014785,0.09708162,0.6885217,0.6997845,0.92073584,0.17775904,0.83407855,0.8439121,0.33211827,0.35885322,0.53753334,0.0,0.046347518,0.04276754,0.22171041,0.13238215,0.26508784,0.48861232
TIM TARANTO,RI,0.0,0.8196878,0.036595315,0.044246968,0.6225874,0.07644673,0.9346846,0.15579428,0.09594971,0.7165596,0.61622465,0.18431205,0.6534958,0.09160759,0.0,0.16020548,0.038069565,0.05145703,0.94049513,0.95419675,0.0,0.0
BAILEY DALE,WB,0.0,0.83456355,0.5091204,0.11259338,0.10819653,0.040823936,0.83539385,0.09327557,0.58897185,0.48238015,0.8030325,0.08270839,0.0,0.077411845,0.9131376,0.12243702,0.10196973,0.059454866,0.06457199,0.6570583,0.13793592,0.2162245
SAM DARCY,WB,0.0,0.06777029,0.6766866,0.49186078,0.8718047,0.16222166,0.028614711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7207799,0.93030524,0.05365121,0.80088866,0.04119806,0.04441853,0.93374604,0.9130565
RILEY THILTHORPE,AD,0.0,0.20306231,0.35246813,0.4023175,0.9389813,0.027391057,0.045217816,0.02842551,0.040437914,0.4134943,0.06579511,0.3371555,0.2393443,0.056407,0.028049767,0.0,0.9224589,0.023521984,0.9482335,0.030016063,0.7504524,0.8495023
KYSAIAH PICKETT,ME,0.0,0.0,0.0,0.0,0.040807307,0.15704416,0.9563908,0.14365128,0.10345749,0.0689367,0.46289554,0.92098385,0.034422517,0.25200772,0.060045823,0.0,0.7834474,0.58909404,0.33499536,0.8455967,0.118847996,0.6490459
AARON NAUGHTON,WB,0.0,0.42600957,0.022710204,0.024654992,0.028418675,0.026078045,0.5911428,0.11046804,0.5529799,0.02243887,0.038058773,0.041498315,0.0,0.024094578,0.060260925,0.046770304,0.7869296,0.9449127,0.8143897,0.04847199,0.94029504,0.92430705
ADAM CERRA,CA,0.0,0.27399838,0.436558,0.6091874,0.06750913,0.5819992,0.8163136,0.3097768,0.036336128,0.09236564,0.6159735,0.14805603,0.0,0.67732,0.77135116,0.20830448,0.028237795,0.15506306,0.055900138,0.5285278,0.052272107,0.0
JACK SINCLAIR,SK,0.0,0.04789855,0.7665445,0.8959957,0.64704454,0.24025026,0.032297585,0.07077868,0.08950989,0.27911487,0.6550597,0.40299797,0.5242509,0.0,0.08201518,0.036454443,0.045058485,0.04899084,0.13080902,0.13750635,0.7296694,0.5771386
STEELE SIDEBOTTOM,CW,0.028449222,0.7682507,0.5493339,0.0,0.40534475,0.7292329,0.5122529,0.91457826,0.28413904,0.023336913,0.31036964,0.0,0.7551772,0.38232213,0.0,0.08635199,0.11574918,0.0,0.022601018,0.09620202,0.1816864,0.20341042
GRYAN MIERS,GE,0.0,0.18511203,0.042726528,0.066038445,0.5098759,0.09138925,0.029119154,0.0,0.0,0.097602285,0.5100731,0.28354478,0.78569573,0.5607482,0.6116549,0.02964629,0.0,0.776725,0.107581414,0.45997038,0.15041362,0.8786595
JACK MACRAE,SK,0.0,0.42476028,0.85926193,0.8694495,0.72710043,0.0347799,0.043536358,0.29786217,0.90340173,0.05159882,0.14000936,0.0,0.0,0.0,0.043705367,0.31572762,0.31907642,0.4303951,0.26455033,0.08714897,0.16243306,0.18270007
BRODIE GRUNDY,SY,0.028180322,0.039138008,0.041242167,0.0,0.21266134,0.099113725,0.40870166,0.022976834,0.08285102,0.34517428,0.31562328,0.16352107,0.10757277,0.63199526,0.0,0.45896125,0.66814834,0.5414017,0.47927904,0.4124728,0.17485163,0.8998224
JACOB HOPPER,RI,0.0,0.14096922,0.04589693,0.06100813,0.60806835,0.26674277,0.5384594,0.05991411,0.06851847,0.1458989,0.6050922,0.13614014,0.89239836,0.037488148,0.0,0.11808349,0.11299806,0.07151497,0.6526506,0.94050175,0.5449864,0.05823049
LUKE DAVIES-UNIACKE,NM,0.0,0.3170808,0.50525516,0.033679932,0.05291261,0.13411099,0.0550961,0.5832223,0.64836645,0.8624101,0.7336926,0.11846051,0.0,0.1023695,0.5633136,0.83602566,0.10080117,0.028297843,0.0,0.17001025,0.08466391,0.16328758
CLAYTON OLIVER,ME,0.0,0.31050414,0.3981336,0.14604281,0.3636457,0.11281957,0.20225498,0.20613806,0.0,0.02365702,0.5164743,0.8982121,0.029887348,0.7911162,0.19102326,0.0,0.12698671,0.06647887,0.16638398,0.22652669,0.5106644,0.79268754
TIM ENGLISH,WB,0.0,0.035620585,0.03202738,0.13933997,0.16640864,0.17403162,0.19856474,0.706837,0.9360094,0.03938677,0.232555,0.062806904,0.0,0.32860568,0.45166287,0.81323117,0.11320684,0.37576756,0.35185826,0.03429434,0.27199435,0.47666532
TOBY GREENE,GW,0.372689,0.8578735,0.0,0.08625718,0.9429792,0.9567631,0.02942764,0.056603324,0.039152823,0.054152284,0.043854333,0.94716257,0.058477234,0.022765998,0.0,0.3100631,0.0,0.7107967,0.11533062,0.23444335,0.044311956,0.0
JASON HORNE-FRANCIS,PA,0.0,0.083286785,0.16532226,0.07680533,0.8727832,0.9045124,0.2729669,0.90430576,0.06342829,0.3147277,0.023609245,0.0,0.0,0.0,0.8986871,0.045749467,0.039284408,0.09996086,0.9197561,0.0,0.0,0.0
SHAI BOLTON,FR,0.0,0.0,0.035594877,0.12547265,0.11737162,0.23949373,0.6140496,0.4453125,0.023376813,0.8408886,0.938587,0.2797756,0.53129363,0.0,0.28705904,0.06886243,0.06423371,0.054213885,0.23652908,0.07235755,0.55680233,0.04786124
SCOTT PENDLEBURY,CW,0.03577775,0.025821103,0.13579227,0.0,0.68862367,0.53248864,0.216546,0.8526096,0.56795275,0.0,0.083147116,0.0,0.1848008,0.57374626,0.0,0.18484342,0.9266566,0.34417465,0.052701928,0.057797804,0.0,0.059589624
SHAUN MANNAGH,GE,0.0,0.0,0.0,0.0,0.15602264,0.04261,0.22251791,0.47843704,0.55531377,0.15624036,0.39703658,0.5458274,0.18981817,0.41200563,0.31677318,0.023521284,0.0,0.35253268,0.051858395,0.8816804,0.13174088,0.6074499
JAMES PEATLING,AD,0.0,0.12427794,0.028731711,0.22818758,0.6335613,0.12229441,0.0,0.05838112,0.3037844,0.56317836,0.15132526,0.39185157,0.40725076,0.1902855,0.0,0.0,0.07893482,0.72847825,0.036779497,0.4676727,0.862572,0.06385589
RORY LAIRD,AD,0.0,0.6079561,0.17089766,0.86976045,0.023899624,0.06404729,0.121342644,0.106647104,0.25357547,0.0918345,0.1975563,0.49417043,0.0,0.4891198,0.11669287,0.0,0.57106304,0.23271984,0.3146104,0.3084892,0.37655327,0.0
BEN KEAYS,AD,0.0,0.20461248,0.9355708,0.57786083,0.04359855,0.0900303,0.19722974,0.032469332,0.049269218,0.28528038,0.028425185,0.15896048,0.48255214,0.3988072,0.27138075,0.0,0.060836997,0.67369837,0.102681935,0.13339947,0.54117024,0.10703616
NIC MARTIN,ES,0.0,0.16868539,0.040131032,0.21913356,0.0,0.57408345,0.7749781,0.03852917,0.116122894,0.8971095,0.13218085,0.9511755,0.54894984,0.64485395,0.048888933,0.050896436,0.0,0.042623796,0.023424001,0.0,0.0,0.0
ZAC BAILEY,BL,0.0,0.77140075,0.035825666,0.15907784,0.16085215,0.8232809,0.028412087,0.86133826,0.06526626,0.045253012,0.45116237,0.045268856,0.081942365,0.11922147,0.027850393,0.08650933,0.0,0.91180027,0.13647382,0.0,0.07467308,0.3717798
OLLIE WINES,PA,0.0,0.32976767,0.80268306,0.7738722,0.07555284,0.29167,0.026272971,0.53409773,0.039242998,0.7070961,0.08342292,0.1298044,0.0,0.15093258,0.18292978,0.0,0.0,0.07304253,0.6731844,0.14601998,0.04836681,0.147299
JAMIE ELLIOTT,CW,0.029046088,0.0438712,0.06907122,0.0,0.029433602,0.09614169,0.04038086,0.9426576,0.03426876,0.9465993,0.04625619,0.89754343,0.93438137,0.024545426,0.0,0.04323361,0.047679394,0.81574255,0.046864454,0.03696029,0.046589065,0.022505863
JACK CRISP,CW,0.036112007,0.6844911,0.38216892,0.0,0.13638102,0.0951333,0.13142388,0.06723736,0.058507297,0.9479032,0.035179205,0.09432355,0.1521166,0.15493982,0.0,0.20821434,0.7479577,0.5690275,0.16451126,0.35515887,0.0748444,0.04911693
ROWAN MARSHALL,SK,0.0,0.024216404,0.8947435,0.44840595,0.090809,0.027068134,0.031878803,0.10810807,0.13978627,0.31624213,0.632171,0.039083853,0.22723788,0.0,0.15851882,0.16314453,0.5284298,0.2095947,0.028380077,0.04336854,0.13027337,0.8759159
SAM WALSH,CA,0.0,0.21746144,0.29072887,0.32570198,0.7339249,0.9518355,0.4652982,0.66665864,0.055285905,0.23725957,0.049099367,0.1588797,0.0,0.9032406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KARL AMON,HW,0.65345263,0.7400401,0.17452198,0.1063382,0.0,0.03472892,0.38211754,0.0627597,0.0,0.052002143,0.6090932,0.07830574,0.036445335,0.07020071,0.13701318,0.0,0.82749224,0.11464266,0.68720067,0.1431091,0.049372647,0.047730204
JACK GUNSTON,HW,0.0,0.0,0.03427864,0.0933629,0.0,0.8448512,0.17532392,0.88412464,0.44693124,0.35419816,0.0,0.022439515,0.026262823,0.052379165,0.06573672,0.0,0.94523746,0.13028438,0.023445042,0.09022404,0.4844022,0.26996517
LUKE JACKSON,FR,0.0,0.03866007,0.060129434,0.2238087,0.100366876,0.0,0.0,0.0,0.026462285,0.03808317,0.55575055,0.60800576,0.7037356,0.0,0.104037404,0.887516,0.06573599,0.03779779,0.052179825,0.042985898,0.5925165,0.7568444
SAM DURHAM,ES,0.0,0.20043252,0.04582109,0.8411022,0.0,0.7986012,0.067119285,0.13976017,0.36843786,0.21882792,0.10321077,0.8260723,0.022910364,0.40834466,0.0,0.0,0.0,0.2707505,0.34486562,0.02534516,0.099187955,0.08198672
DYLAN MOORE,HW,0.11013973,0.73818165,0.030853588,0.10230486,0.0,0.09257301,0.02637391,0.100590445,0.026434828,0.40970832,0.14006485,0.030894948,0.03894622,0.58702755,0.6321718,0.0,0.044361517,0.11248137,0.0343165,0.8664983,0.65871924,0.026189076
MITCH GEORGIADES,PA,0.0,0.022257077,0.5862413,0.033748727,0.09112632,0.3660843,0.06781585,0.23801589,0.023886468,0.030980181,0.030925825,0.04740317,0.0,0.033357654,0.9565337,0.025145005,0.94454104,0.52123725,0.43864378,0.027036367,0.052300148,0.043345045
DARCY CAMERON,CW,0.28232062,0.12205793,0.12743959,0.0,0.42360315,0.31540906,0.09510908,0.28110394,0.66622466,0.15946317,0.056941964,0.04384213,0.23707965,0.10144716,0.0,0.7906426,0.22582924,0.24851607,0.034112882,0.16213733,0.14643447,0.059146907
TOM POWELL,NM,0.0,0.28082523,0.8274234,0.025618449,0.05001219,0.029334536,0.038236924,0.13012102,0.5993691,0.031784248,0.1961534,0.2662161,0.0,0.58219427,0.09988453,0.9074535,0.023681004,0.13124329,0.096737616,0.0832535,0.07354203,0.09533024
JACK VINEY,ME,0.0,0.2877707,0.061646275,0.0341884,0.028519755,0.034830764,0.5854331,0.30732295,0.54660285,0.0,0.0,0.0,0.0,0.0,0.04140853,0.0,0.048235357,0.63110125,0.3237731,0.25584647,0.6357461,0.7132773
TOM DE KONING,CA,0.0,0.64458424,0.13138331,0.6024092,0.068445325,0.040551506,0.06276367,0.73465383,0.029617893,0.39248955,0.0,0.036366,0.0,0.7733568,0.7971778,0.03089358,0.038658954,0.023237698,0.025884036,0.027862178,0.025970768,0.042313036
BEN KING,GC,0.0,0.91098434,0.0,0.8611376,0.03427445,0.6896495,0.022211516,0.706565,0.028403698,0.07188705,0.02573751,0.024872022,0.022925403,0.022745037,0.0,0.02394547,0.09464928,0.40814194,0.027876439,0.022885634,0.040883422,0.46256608
JOSH TREACY,FR,0.0,0.024056844,0.6786207,0.4768706,0.32572424,0.9570469,0.023232704,0.20377238,0.022048164,0.029309435,0.04936126,0.03573232,0.056830782,0.0,0.36849916,0.5802109,0.08331073,0.023775535,0.11376541,0.030639568,0.030801486,0.33405006
JOEL FREIJAH,WB,0.0,0.60579956,0.21821898,0.037572667,0.026434686,0.026946416,0.8353546,0.6710652,0.2581111,0.08896896,0.08307604,0.029307937,0.0,0.043356087,0.2273951,0.1238877,0.9215559,0.07921109,0.02278717,0.03549939,0.063156135,0.038686913
JYE CALDWELL,ES,0.0,0.7487817,0.095159836,0.32400092,0.0,0.0,0.0,0.0,0.0,0.12457788,0.027241308,0.5993742,0.8800975,0.7077985,0.35176978,0.46614757,0.0,0.031037217,0.0,0.0,0.0,0.0
JY SIMPKIN,NM,0.0,0.87542784,0.4361437,0.6205384,0.03282084,0.23762305,0.050816707,0.09635076,0.5004863,0.115306765,0.14735492,0.09339128,0.0,0.5910146,0.023830436,0.042445943,0.025041457,0.039773993,0.034393962,0.31980515,0.042640757,0.0
CHRISTIAN SALEM,ME,0.0,0.52869475,0.060075305,0.035023183,0.026211279,0.04151112,0.111471206,0.8230166,0.02753074,0.03214571,0.14424504,0.9122683,0.0245769,0.039184198,0.024766916,0.0,0.03665042,0.04586352,0.41583326,0.15391916,0.06732037,0.74783486
LUKE RYAN,FR,0.0,0.032832112,0.0942872,0.0688615,0.71920997,0.044759806,0.053421445,0.18414605,0.036417812,0.4678981,0.09105199,0.3798238,0.22074181,0.0,0.19115402,0.861638,0.16630329,0.049557436,0.24088211,0.2728233,0.040141184,0.049394082
LUKE PARKER,NM,0.0,0.031778436,0.20825611,0.04918321,0.19690298,0.05556344,0.11743783,0.44269398,0.03815354,0.7006923,0.046886474,0.026427697,0.0,0.28724733,0.64431185,0.54919,0.11421312,0.0,0.23633213,0.02616998,0.2426695,0.031366408
JOSH KELLY,GW,0.90503466,0.24911323,0.0,0.04130027,0.6961699,0.8510515,0.026141096,0.035297547,0.0,0.0,0.0,0.0,0.13727935,0.029602371,0.09525984,0.041468337,0.0,0.8695143,0.04308661,0.0,0.02427389,0.0
TRENT RIVERS,ME,0.0,0.20773667,0.028581964,0.038521733,0.022876738,0.043290857,0.5933576,0.7346125,0.48597157,0.035609156,0.65561867,0.1571809,0.026321108,0.1317358,0.02551776,0.0,0.16490696,0.0745165,0.059836935,0.24692613,0.22768545,0.07937537
JACK STEELE,SK,0.0,0.034220338,0.23947339,0.0,0.0,0.044965826,0.023379909,0.5267622,0.6286983,0.08357182,0.06335511,0.6876592,0.54542863,0.0,0.064277366,0.038314838,0.12572448,0.18472902,0.4796803,0.18839942,0.03526493,0.024148636
NICK BLAKEY,SY,0.15826271,0.15862915,0.22425735,0.0,0.065490216,0.032564376,0.22938682,0.07083845,0.08272831,0.1530176,0.06871815,0.039727133,0.02603351,0.815045,0.0,0.20377661,0.12761143,0.1134725,0.105283596,0.57226276,0.03609359,0.71913624
BAILEY HUMPHREY,GC,0.0,0.23727722,0.0,0.38109273,0.052201442,0.03656798,0.022052446,0.91365856,0.07088961,0.41004026,0.10382196,0.027458452,0.02437096,0.026693655,0.0,0.5464976,0.06378812,0.16511908,0.06292803,0.024943477,0.69471174,0.09575554
ERROL GULDEN,SY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25850835,0.81550926,0.82880294,0.5958875,0.22716305,0.38388005,0.80617815
LOGAN MORRIS,BL,0.0,0.022666898,0.14231397,0.022910252,0.060382586,0.6961385,0.022090064,0.025708923,0.0,0.024300035,0.028518116,0.027265087,0.10773481,0.032042637,0.74273944,0.8730496,0.0,0.031090474,0.037397128,0.038261443,0.022090064,0.94952834
CALEB DANIEL,NM,0.0,0.055248473,0.8068763,0.40123978,0.0434989,0.28711626,0.036426265,0.059597,0.07893563,0.037354004,0.24230582,0.072139315,0.0,0.61789507,0.061110843,0.11260058,0.059992548,0.046537034,0.12706631,0.051498413,0.028862372,0.5793681
COLBY MCKERCHER,NM,0.0,0.044100005,0.04562941,0.034903545,0.03708616,0.024558239,0.024750004,0.06378569,0.023799025,0.031485833,0.22258429,0.028337974,0.0,0.8963016,0.16491061,0.7693121,0.08551193,0.19450825,0.11340233,0.049529165,0.09823724,0.8146344
PATRICK DANGERFIELD,GE,0.0,0.047829036,0.044946194,0.10739306,0.7480798,0.7961096,0.24438001,0.029845651,0.64147455,0.02665939,0.023326846,0.0,0.0,0.025881961,0.078870095,0.030366272,0.0,0.072943725,0.022171287,0.58545804,0.04312537,0.19323416
